customer_id,age,gender,subscription_type,monthly_fee,subscription_months,login_frequency,session_duration,support_tickets,payment_failures,last_active_days,customer_satisfaction,feature_usage_score,referrals,engagement_score,churn
100035,32,Male,Premium,42.56,50,13,23.06,2,0,1,8.3,82.1,0,50.3,0
100036,64,Female,Basic,11.5,33,14,39.4,1,0,39,5.7,95.2,2,51.3,0
100037,68,Female,Basic,6.98,56,8,12.12,2,0,7,5.5,58.3,1,33.8,0
100038,61,Female,Standard,19.56,23,10,47.55,2,0,10,7.1,65.6,0,44.2,0
100039,69,Male,Basic,8.13,58,15,15.92,1,0,4,7.8,48.6,0,39.4,0
100040,20,Male,Standard,21.13,2,10,19.5,1,0,6,9.0,70.2,1,46.2,0
100041,54,Female,Standard,21.84,8,9,21.09,4,1,12,6.9,28.3,0,29.1,1
100042,68,Female,Basic,10.19,29,5,23.59,1,1,9,6.1,71.4,1,38.7,1
100043,24,Female,Premium,39.45,42,9,12.82,2,0,64,8.6,48.9,1,37.8,0
100044,38,Female,Standard,20.13,51,4,16.86,1,0,8,10.0,83.1,1,48.8,0
100045,26,Female,Standard,20.41,7,14,25.74,0,0,12,5.8,24.2,1,28.7,0
100046,56,Female,Standard,18.709999999999997,49,10,4.43,0,1,24,5.9,50.3,1,32.4,0
100047,35,Male,Standard,17.549999999999997,29,5,31.11,1,0,43,8.1,37.8,0,33.5,0
100048,21,Female,Basic,5.890000000000001,31,6,8.5,1,0,28,6.9,68.0,1,38.1,0
100049,42,Female,Basic,12.52,30,11,8.67,1,1,15,6.2,21.3,3,25.3,0
100050,31,Female,Standard,20.979999999999997,35,6,14.46,0,0,1,5.9,58.2,2,33.9,0
100051,67,Female,Standard,20.72,25,4,49.52,1,2,38,5.1,64.1,0,36.9,1
100052,26,Male,Basic,12.52,47,5,13.29,0,0,49,5.5,58.5,0,32.5,1
100053,43,Female,Standard,17.479999999999997,4,8,12.78,1,0,12,5.7,64.5,0,36.2,0
100054,19,Female,Standard,16.52,49,9,22.89,2,0,3,5.8,63.2,0,37.6,0
100055,37,Male,Basic,10.76,43,11,9.74,0,0,1,5.4,53.7,0,33.5,0
100056,45,Male,Basic,10.58,38,4,41.05,4,0,0,5.0,84.1,1,41.8,1
100057,64,Male,Standard,16.529999999999998,17,8,8.18,1,0,17,7.8,46.4,0,34.4,0
100058,24,Male,Basic,10.71,10,14,4.19,0,0,6,5.8,61.9,1,37.6,0
100059,61,Male,Basic,9.19,1,7,13.7,1,0,6,6.3,38.0,0,29.0,0
100060,25,Male,Basic,8.38,18,17,8.48,1,0,2,5.2,50.7,2,35.1,0
100061,64,Female,Premium,39.32,46,10,7.72,0,0,12,5.9,95.4,0,46.3,0
100062,52,Female,Standard,15.11,19,11,12.68,0,0,56,5.8,44.6,1,31.9,0
100063,31,Female,Basic,8.81,50,11,3.75,1,1,6,8.5,47.4,0,37.1,0
100064,34,Female,Basic,8.58,56,9,5.96,0,1,10,9.6,41.5,0,36.8,0
100065,53,Male,Standard,21.099999999999998,32,9,31.41,0,0,5,10.0,48.8,2,42.6,0
100066,67,Male,Standard,19.669999999999998,54,8,19.49,3,0,2,5.9,55.2,0,34.5,0
100067,57,Female,Standard,21.27,31,5,16.66,0,0,10,6.7,68.9,1,38.4,0
100068,21,Male,Premium,34.89,33,8,5.29,0,0,3,7.8,55.9,1,37.0,0
100069,19,Other,Standard,18.31,22,9,42.49,1,0,13,7.1,21.6,0,29.9,0
100070,23,Female,Basic,11.1,1,8,20.43,5,0,4,8.6,36.7,0,34.5,1
100071,59,Female,Standard,19.369999999999997,41,8,18.6,0,0,8,4.9,67.0,1,36.0,0
100072,21,Other,Premium,41.68,46,5,18.69,0,0,26,7.2,51.5,1,34.4,0
100073,46,Male,Standard,16.38,35,10,3.85,0,0,3,5.0,17.3,0,20.6,0
100074,35,Male,Standard,21.45,44,9,31.7,3,0,20,6.7,50.1,1,36.5,1
100075,43,Female,Basic,8.71,49,4,6.96,1,1,15,7.2,43.2,0,30.1,1
100076,61,Male,Basic,8.52,17,9,3.34,1,1,31,3.4,83.6,0,36.8,0
100077,51,Female,Standard,21.97,34,9,25.05,1,0,53,5.3,49.2,1,32.6,0
100078,27,Male,Premium,42.31,29,9,18.48,4,1,2,10.0,32.6,1,36.3,0
100079,53,Female,Standard,22.06,6,9,55.68,1,0,38,4.9,66.8,0,40.5,0
100080,31,Female,Standard,24.07,1,4,36.21,1,0,14,10.0,83.6,0,51.1,0
100081,48,Female,Basic,12.52,55,7,17.85,1,0,9,7.9,33.9,1,31.5,0
100082,65,Male,Basic,8.4,27,9,28.12,1,0,13,8.1,79.2,1,47.6,0
100083,32,Male,Standard,20.27,12,5,27.11,0,1,10,10.0,75.1,0,48.0,0
100084,25,Female,Basic,9.27,4,4,7.58,0,0,45,8.4,50.2,0,34.7,1
100085,31,Male,Standard,24.049999999999997,55,8,27.36,2,1,3,9.8,81.8,1,51.2,0
100086,40,Female,Basic,12.2,16,12,22.1,0,1,4,5.7,62.7,0,38.7,0
100087,57,Female,Standard,19.61,52,8,21.1,2,0,18,8.8,64.5,2,43.3,0
100088,38,Female,Premium,41.75,11,9,8.49,4,0,22,6.7,36.2,1,29.7,1
100089,33,Female,Standard,17.529999999999998,52,5,15.52,3,0,16,7.0,65.4,2,37.8,0
100090,62,Male,Basic,10.49,20,12,3.2,2,1,13,7.0,55.7,0,37.1,0
100091,35,Female,Standard,18.11,26,5,9.72,2,2,3,5.3,50.0,1,29.2,0
100092,64,Female,Premium,36.61,28,8,18.71,1,0,18,6.9,59.1,0,37.6,0
100093,41,Male,Standard,21.56,42,15,10.73,2,1,13,6.6,43.0,1,34.8,0
100094,43,Other,Basic,11.81,8,14,10.33,1,0,10,9.0,53.8,1,42.3,0
100095,42,Male,Basic,10.9,2,9,10.16,3,0,11,7.8,39.4,1,33.0,1
100096,62,Male,Basic,9.620000000000001,40,12,2.24,0,0,3,7.8,34.1,1,32.1,0
100097,58,Male,Basic,7.460000000000001,26,9,58.08,0,0,8,8.2,76.5,0,50.3,0
100098,46,Female,Premium,37.67,27,8,75.04,0,0,19,10.0,44.6,0,45.7,0
100099,32,Male,Premium,38.050000000000004,33,8,1.58,5,0,8,7.1,76.9,0,41.4,1
100100,62,Female,Basic,9.52,55,6,28.14,0,0,23,6.7,48.0,1,33.9,0
100101,18,Female,Basic,12.14,7,7,5.08,0,0,2,6.7,73.8,1,39.6,0
100102,42,Male,Basic,12.11,54,9,4.92,0,1,12,6.7,30.3,0,27.5,0
100103,24,Male,Premium,36.690000000000005,46,6,14.39,0,0,8,6.9,45.0,0,31.9,0
100104,26,Female,Standard,18.599999999999998,36,5,33.45,2,1,37,7.2,74.2,0,42.9,1
100105,41,Male,Standard,18.549999999999997,21,9,24.07,0,1,8,5.7,50.4,0,33.7,0
100106,18,Female,Standard,14.93,49,10,42.02,0,0,31,4.4,37.5,1,29.7,0
100107,61,Male,Standard,21.119999999999997,34,11,13.27,1,0,1,7.4,36.4,1,32.7,0
100108,25,Female,Basic,9.5,58,8,16.57,2,2,0,7.8,69.3,0,42.2,1
100109,41,Female,Basic,9.76,23,13,17.7,1,0,8,6.7,63.0,0,40.8,0
100110,28,Male,Standard,22.68,34,7,4.6,0,1,14,7.5,60.4,1,37.1,0
100111,68,Male,Standard,20.169999999999998,40,4,38.62,1,2,9,7.9,66.0,0,41.9,0
100112,34,Male,Basic,9.13,7,6,10.27,2,1,9,7.9,55.8,1,36.7,0
100113,25,Male,Basic,11.13,26,11,13.04,1,1,40,7.5,91.8,1,49.5,0
100114,52,Female,Basic,12.11,40,6,16.69,2,0,68,7.8,74.2,1,42.7,1
100115,52,Female,Standard,20.58,52,7,13.94,1,1,5,8.8,59.2,0,40.4,0
100116,50,Male,Standard,21.369999999999997,49,8,31.53,1,0,17,6.4,21.7,0,26.8,0
100117,22,Female,Premium,39.7,55,8,15.68,0,0,7,6.6,26.6,0,26.9,0
100118,59,Female,Basic,9.83,17,4,19.79,2,0,3,5.2,80.9,0,38.9,1
100119,56,Male,Basic,10.22,31,12,64.3,0,0,10,6.2,40.4,2,37.7,0
100120,58,Male,Basic,8.48,39,6,1.0,1,2,5,6.2,53.7,0,31.6,1
100121,45,Female,Standard,18.849999999999998,25,11,6.86,0,0,2,7.0,58.2,0,37.7,0
100122,24,Female,Standard,22.75,37,8,13.5,3,0,1,6.6,55.7,0,35.4,1
100123,26,Female,Standard,24.009999999999998,15,9,23.03,0,0,7,7.1,30.0,0,30.3,0
100124,25,Female,Basic,13.17,2,5,61.62,2,0,1,8.3,68.5,0,46.5,0
100125,29,Male,Standard,17.34,11,5,8.55,1,0,19,8.7,42.3,0,33.5,1
100126,51,Female,Premium,37.150000000000006,32,4,17.77,2,0,4,3.4,70.9,0,32.0,1
100127,50,Female,Premium,37.61,30,5,16.69,2,1,8,4.9,51.4,0,29.6,1
100128,65,Female,Premium,40.260000000000005,17,11,7.94,0,0,3,7.0,66.6,0,40.4,0
100129,40,Male,Standard,14.369999999999997,24,11,10.78,0,0,10,8.8,73.2,1,46.3,0
100130,41,Male,Premium,38.81,45,9,14.36,0,0,8,6.7,46.3,2,33.4,0
100131,54,Male,Basic,12.8,4,8,1.48,1,0,23,3.7,77.7,0,34.9,0
100132,52,Female,Basic,11.95,56,9,19.35,2,0,33,8.9,79.4,0,48.3,0
100133,61,Male,Basic,8.97,50,9,13.88,0,0,1,9.3,61.7,0,43.2,0
100134,57,Male,Standard,19.119999999999997,46,5,6.73,1,0,7,6.7,34.3,2,26.9,0
100135,39,Male,Premium,41.120000000000005,32,6,41.24,1,0,25,5.5,83.2,1,43.5,1
100136,44,Male,Basic,11.86,19,11,4.25,2,1,22,6.9,70.2,3,40.8,0
100137,52,Female,Standard,18.919999999999998,3,7,6.33,1,1,5,8.5,40.8,0,33.4,0
100138,18,Female,Standard,19.52,4,9,27.23,0,2,2,7.3,68.2,0,42.6,0
100139,52,Female,Premium,38.86,25,6,8.24,0,0,10,5.2,47.9,1,28.7,0
100140,54,Male,Standard,17.33,9,5,47.75,0,1,5,7.7,47.0,2,37.3,0
100141,64,Female,Premium,39.550000000000004,21,8,12.85,2,0,16,8.1,49.6,1,36.5,1
100142,31,Male,Basic,9.4,23,4,30.32,1,0,4,7.9,38.3,2,32.7,1
100143,20,Male,Basic,7.470000000000001,46,12,18.01,0,1,0,6.7,2.9,1,22.3,0
100144,18,Male,Standard,21.279999999999998,29,10,7.75,2,1,13,6.7,55.2,1,35.8,0
100145,22,Male,Basic,10.96,30,12,17.37,5,0,27,5.7,37.6,0,30.6,1
100146,43,Male,Basic,11.38,25,5,19.47,1,0,28,7.1,75.3,1,41.5,0
100147,31,Female,Standard,18.45,49,6,29.59,1,1,2,2.7,38.9,0,23.4,0
100148,56,Female,Standard,16.02,29,6,15.92,0,1,14,7.4,67.2,0,39.7,0
100149,44,Female,Standard,20.919999999999998,34,9,30.89,0,0,21,6.1,95.7,0,48.8,0
100150,26,Male,Basic,8.66,14,5,8.68,2,1,3,5.9,59.6,1,33.1,0
100151,32,Male,Standard,18.209999999999997,22,9,15.5,0,1,6,8.8,37.4,2,35.0,0
100152,32,Male,Basic,7.48,48,14,16.3,2,0,8,5.6,46.6,0,34.0,0
100153,43,Other,Basic,9.44,51,7,16.93,0,1,3,8.1,79.6,1,45.5,0
100154,59,Female,Standard,23.139999999999997,16,6,43.86,1,0,4,5.4,39.3,0,30.5,1
100155,30,Female,Basic,8.98,11,9,39.72,3,0,0,7.4,42.3,0,36.4,0
100156,68,Male,Basic,7.8100000000000005,59,8,26.32,0,1,3,5.2,91.2,1,44.7,0
100157,49,Female,Standard,21.29,14,11,2.26,2,0,4,10.0,49.6,0,40.6,0
100158,56,Male,Basic,10.34,7,9,16.58,1,0,11,9.2,75.0,0,47.2,0
100159,66,Female,Premium,35.75,5,10,5.98,0,0,4,8.7,38.1,1,34.5,0
100160,69,Female,Standard,21.31,58,6,15.14,3,1,0,4.0,47.2,1,26.8,1
100161,49,Other,Premium,44.25,40,8,35.89,3,0,19,8.3,58.8,1,42.2,0
100162,21,Female,Basic,5.0,29,10,21.42,0,0,1,6.2,80.6,2,44.0,0
100163,47,Male,Standard,17.52,17,6,10.87,0,1,1,4.8,69.5,0,34.7,0
100164,54,Female,Basic,5.0,30,8,39.79,0,0,7,9.5,52.6,1,43.2,0
100165,40,Female,Premium,39.84,25,7,8.58,0,0,9,9.1,37.3,2,33.8,0
100166,56,Male,Basic,11.97,14,8,18.04,0,0,16,6.9,63.8,1,38.9,0
100167,62,Male,Basic,10.200000000000001,59,8,13.79,3,0,2,8.6,95.5,1,51.4,0
100168,32,Male,Premium,42.77,42,13,27.77,3,0,11,10.0,49.9,1,44.6,0
100169,60,Male,Basic,11.65,22,8,36.5,2,0,10,10.0,97.4,2,57.3,0
100170,46,Male,Basic,13.39,44,9,11.24,1,0,26,7.4,55.7,3,37.3,0
100171,53,Female,Basic,12.31,5,9,22.08,2,1,3,7.6,77.5,3,45.4,0
100172,30,Male,Standard,19.18,40,7,9.68,0,0,5,3.9,56.1,0,29.2,0
100173,49,Male,Basic,10.120000000000001,28,4,12.01,0,1,15,5.7,42.5,1,27.5,0
100174,24,Female,Standard,18.25,12,5,12.28,2,0,2,7.2,24.6,2,25.6,1
100175,68,Female,Basic,9.53,36,7,9.18,1,1,5,6.6,50.1,1,32.7,1
100176,39,Female,Standard,20.11,13,4,22.56,1,0,4,4.9,78.6,1,37.9,0
100177,45,Male,Standard,19.819999999999997,57,10,13.52,0,0,0,8.6,31.3,0,33.1,0
100178,19,Female,Standard,22.669999999999998,21,10,50.33,0,0,21,9.9,43.4,1,43.4,0
100179,59,Female,Standard,19.33,32,5,13.8,0,0,17,7.1,65.9,2,38.0,0
100180,62,Male,Basic,8.13,49,11,28.19,2,0,1,5.6,59.0,0,37.5,0
100181,23,Male,Basic,8.25,56,9,35.59,2,0,3,4.2,58.8,2,34.5,0
100182,45,Female,Basic,11.3,57,5,16.85,0,1,0,9.1,56.7,1,39.6,0
100183,45,Female,Standard,17.18,21,7,35.87,1,0,5,8.0,58.0,0,40.9,0
100184,61,Other,Standard,19.59,37,3,13.66,0,0,10,7.1,20.5,1,23.4,0
100185,61,Female,Premium,42.650000000000006,38,10,5.22,2,1,0,7.6,47.1,2,34.9,0
100186,37,Female,Basic,10.58,9,14,13.81,1,1,2,4.9,71.2,0,39.7,0
100187,47,Female,Standard,19.84,37,9,17.83,1,2,7,5.4,74.1,0,39.5,0
100188,28,Male,Standard,19.919999999999998,2,7,7.7,0,0,4,8.2,56.9,2,37.8,0
100189,45,Male,Standard,17.93,3,9,19.94,1,1,4,9.8,48.0,0,40.7,0
100190,42,Male,Premium,38.28,43,8,17.3,0,0,6,7.0,73.7,0,42.0,0
100191,56,Female,Basic,9.6,10,5,7.62,2,0,16,10.0,17.7,0,28.7,1
100192,50,Female,Basic,10.530000000000001,35,9,17.0,0,0,4,7.6,59.0,0,39.3,0
100193,18,Female,Standard,21.889999999999997,9,9,10.11,1,0,20,5.7,83.2,0,42.0,0
100194,44,Male,Basic,10.18,40,7,6.26,1,0,13,5.2,77.5,0,37.8,0
100195,69,Female,Basic,12.7,48,7,20.8,0,1,56,7.2,100.0,2,50.2,0
100196,30,Male,Basic,13.2,54,5,15.76,2,0,21,7.5,49.6,1,34.1,0
100197,58,Male,Basic,11.58,32,11,10.0,0,1,8,6.4,72.0,0,41.0,0
100198,20,Female,Standard,22.439999999999998,21,7,10.17,1,0,3,4.1,44.0,1,26.0,0
100199,56,Female,Basic,8.01,58,10,15.39,4,1,3,7.8,68.5,1,42.9,0
100200,23,Other,Standard,17.689999999999998,34,6,25.8,3,2,0,6.9,68.3,1,40.2,1
100201,25,Male,Standard,21.029999999999998,25,11,2.68,2,0,3,7.1,47.8,0,34.3,0
100202,44,Female,Standard,17.31,42,6,25.09,0,0,19,5.4,35.9,1,27.4,0
100203,26,Male,Premium,39.410000000000004,56,6,51.11,1,0,1,7.1,46.0,1,36.7,0
100204,54,Male,Basic,11.530000000000001,32,4,8.42,2,0,2,7.9,67.2,0,38.9,1
100205,50,Female,Premium,42.82,46,5,5.31,0,1,17,7.3,72.8,0,39.5,1
100206,68,Female,Standard,19.479999999999997,37,12,13.11,0,0,11,7.4,54.4,1,38.6,0
100207,59,Female,Standard,18.689999999999998,22,8,28.36,4,0,1,8.1,83.7,2,48.5,0
100208,61,Male,Standard,20.63,25,7,1.14,3,0,0,8.4,44.0,0,33.6,0
100209,41,Female,Standard,17.84,1,15,13.64,0,1,53,6.3,97.0,2,50.7,0
100210,32,Male,Premium,39.64,45,8,23.26,2,0,20,5.1,43.4,1,29.8,0
100211,49,Female,Premium,39.97,36,10,20.49,0,0,35,5.7,90.6,0,45.9,0
100212,49,Male,Basic,9.93,21,8,5.96,1,0,8,8.0,72.1,1,42.3,0
100213,41,Male,Basic,10.17,41,10,2.27,1,0,12,6.5,38.0,1,29.7,0
100214,58,Female,Standard,18.32,16,11,3.3,1,1,10,7.0,72.9,1,41.7,0
100215,69,Female,Premium,38.54,32,5,2.32,1,0,7,5.0,34.7,0,23.2,0
100216,66,Male,Basic,8.5,21,4,31.98,1,0,23,10.0,73.4,0,47.6,0
100217,66,Male,Standard,16.75,53,5,28.74,4,1,9,7.8,49.9,1,36.3,1
100218,69,Female,Standard,20.669999999999998,28,11,1.21,0,0,4,7.8,53.3,1,37.2,0
100219,29,Male,Standard,21.779999999999998,19,4,7.22,1,0,9,6.9,68.6,0,37.2,0
100220,56,Male,Standard,21.58,56,10,17.56,3,0,10,8.3,49.3,1,38.3,0
100221,19,Male,Standard,19.47,14,8,19.59,4,0,12,7.9,67.4,0,42.2,0
100222,20,Male,Premium,38.370000000000005,23,10,7.44,3,0,14,6.3,56.5,0,35.4,1
100223,66,Female,Standard,21.479999999999997,24,10,31.98,3,0,12,6.2,100.0,0,51.0,0
100224,54,Female,Standard,21.27,20,6,9.76,2,0,26,4.9,19.5,0,19.7,1
100225,66,Female,Basic,10.42,32,7,18.46,2,0,2,7.6,70.5,0,41.9,0
100226,34,Other,Standard,23.479999999999997,40,8,15.24,1,0,25,6.6,51.9,1,34.5,0
100227,66,Male,Basic,9.94,10,8,23.91,0,0,19,4.0,56.2,2,31.5,0
100228,19,Male,Basic,9.48,52,15,12.08,1,0,12,10.0,40.7,0,41.1,0
100229,19,Male,Standard,19.189999999999998,1,10,11.44,0,0,1,8.6,77.0,0,46.6,0
100230,45,Male,Standard,16.869999999999997,31,7,4.77,2,1,3,7.3,36.3,2,29.5,1
100231,40,Male,Standard,21.31,52,7,40.72,0,2,2,7.9,60.0,0,41.8,0
100232,54,Female,Basic,9.78,37,9,21.49,0,1,3,7.0,55.8,0,37.6,0
100233,49,Female,Standard,21.009999999999998,58,7,24.21,5,0,1,6.6,54.5,0,35.7,1
100234,50,Male,Standard,23.669999999999998,15,6,13.08,3,1,11,7.7,60.0,0,37.9,1
100235,18,Female,Standard,19.209999999999997,40,9,13.34,1,0,10,7.3,98.6,0,50.2,0
100236,36,Female,Basic,5.3100000000000005,31,6,13.31,1,0,12,6.9,43.5,0,31.3,0
100237,19,Female,Standard,20.95,28,4,22.5,1,0,5,7.1,34.6,3,29.1,1
100238,61,Female,Premium,40.32,10,7,11.82,1,0,23,7.2,60.8,1,37.5,0
100239,43,Female,Basic,8.530000000000001,6,11,2.37,1,1,7,4.5,49.3,0,29.6,0
100240,49,Female,Basic,10.780000000000001,15,7,3.1,0,0,1,5.3,48.2,2,28.9,0
100241,23,Female,Standard,21.56,47,12,13.6,1,0,3,6.0,85.2,0,45.1,0
100242,49,Female,Standard,18.099999999999998,27,10,6.16,1,0,4,7.6,62.4,0,39.6,0
100243,21,Male,Standard,19.389999999999997,10,6,9.78,3,1,34,9.4,64.8,3,42.3,1
100244,28,Male,Standard,22.939999999999998,21,7,22.13,2,0,7,3.8,50.7,0,28.8,1
100245,34,Female,Basic,8.55,19,5,30.81,0,1,2,10.0,41.1,0,38.3,0
100246,55,Male,Basic,10.120000000000001,4,11,3.96,1,0,9,5.6,61.6,0,35.6,0
100247,41,Male,Basic,5.0,22,5,12.52,3,0,27,5.6,94.2,1,43.4,1
100248,22,Female,Basic,7.03,38,8,20.19,3,2,4,9.1,57.6,1,41.7,1
100249,69,Male,Standard,20.31,15,7,11.69,1,0,5,10.0,71.9,0,46.4,0
100250,51,Female,Basic,12.45,6,11,23.37,2,1,46,7.1,52.3,0,38.0,1
100251,23,Female,Premium,37.27,50,7,5.11,0,0,5,7.3,83.3,0,43.7,0
100252,39,Other,Premium,40.14,11,9,12.0,0,0,3,8.1,46.2,0,35.9,0
100253,28,Female,Premium,39.24,44,6,13.8,0,0,28,8.0,41.8,3,33.1,0
100254,65,Male,Premium,41.9,30,13,27.05,1,0,23,5.7,67.3,1,41.1,0
100255,33,Female,Standard,17.549999999999997,40,7,2.41,1,1,1,7.1,74.1,0,40.2,0
100256,50,Female,Premium,40.85,24,9,4.96,2,0,12,10.0,52.1,1,40.7,0
100257,26,Other,Basic,8.68,22,11,33.31,2,1,8,5.5,60.1,1,38.2,0
100258,23,Male,Basic,10.44,30,5,19.14,1,0,7,8.8,29.9,1,31.2,1
100259,33,Male,Standard,20.13,46,4,8.55,2,0,9,6.5,64.8,1,35.4,1
100260,46,Female,Basic,9.49,4,8,65.92,2,0,10,7.3,46.3,0,39.8,1
100261,20,Male,Premium,40.95,50,4,14.7,2,1,28,5.5,66.4,0,34.6,1
100262,37,Female,Standard,20.08,6,9,22.03,0,0,0,9.8,67.6,2,46.8,0
100263,53,Male,Standard,19.72,38,5,8.86,0,0,72,2.4,23.1,0,15.2,1
100264,36,Male,Basic,9.280000000000001,26,8,17.45,2,0,8,7.8,43.2,0,34.5,0
100265,43,Male,Standard,20.15,19,9,4.97,2,1,6,6.1,82.7,0,42.1,0
100266,20,Male,Basic,10.43,2,8,13.75,1,0,6,8.8,68.7,1,43.7,0
100267,36,Female,Premium,38.010000000000005,4,8,37.76,0,1,17,5.1,79.4,1,42.2,0
100268,37,Female,Basic,9.290000000000001,56,5,17.26,4,0,15,7.3,79.9,0,43.0,1
100269,49,Male,Standard,17.88,5,7,16.14,1,0,16,8.9,69.9,0,44.1,0
100270,24,Female,Basic,9.91,47,7,21.09,2,1,16,5.5,43.2,0,29.8,1
100271,69,Male,Basic,8.81,35,10,17.41,4,0,11,4.9,74.9,0,39.2,0
100272,58,Female,Standard,21.529999999999998,29,7,11.31,0,1,15,3.5,80.5,2,35.9,0
100273,50,Male,Basic,11.34,16,3,13.97,1,0,0,8.3,66.9,2,39.7,0
100274,57,Female,Standard,18.139999999999997,45,13,7.69,4,1,33,6.8,78.9,1,44.6,0
100275,56,Female,Basic,9.99,12,12,9.58,0,0,0,7.9,69.0,0,43.6,0
100276,35,Female,Basic,11.27,21,11,5.52,1,0,0,6.6,64.8,0,38.8,0
100277,57,Female,Standard,19.639999999999997,9,7,19.26,2,0,20,6.2,74.4,0,40.4,0
100278,18,Female,Basic,8.530000000000001,11,5,9.36,0,0,6,10.0,97.4,0,52.8,0
100279,28,Other,Basic,7.8100000000000005,8,10,1.0,1,1,8,4.7,70.4,0,35.6,0
100280,45,Female,Premium,41.7,26,7,27.93,3,0,6,9.1,67.6,0,45.1,0
100281,42,Female,Basic,11.8,32,9,13.59,0,1,1,8.8,66.2,1,43.5,0
100282,67,Female,Basic,9.57,39,13,19.35,4,0,17,8.2,75.9,1,47.8,0
100283,40,Male,Basic,11.52,4,7,25.95,1,0,0,6.4,40.3,0,31.3,0
100284,48,Female,Standard,14.059999999999999,34,13,6.68,1,1,15,6.4,34.0,0,30.2,0
100285,47,Male,Standard,22.65,28,10,16.93,1,0,43,6.5,34.9,4,30.4,0
100286,59,Female,Basic,9.68,25,9,10.65,0,0,7,9.6,19.0,1,30.6,0
100287,52,Female,Standard,20.27,51,10,35.84,0,0,5,3.7,44.0,0,29.6,0
100288,24,Female,Basic,9.35,54,11,13.58,1,1,11,7.9,65.8,1,42.5,0
100289,33,Male,Standard,22.779999999999998,55,8,20.84,1,0,12,7.0,85.1,0,45.8,0
100290,43,Male,Basic,7.87,44,12,29.15,2,2,41,10.0,0.0,1,29.2,1
100291,65,Female,Standard,22.939999999999998,35,9,24.18,2,0,14,8.1,72.6,0,45.2,0
